title,cat,des
"
                Jam at Siri House
            ",0,"<p>Ever wondered what it'd be like to dine in a luxurious condo owned by Bangkok's super-rich? Jam at Siri House gives you a taste of that experience – all without leaving Singapore. The 42-seat restaurant is an intimate space that houses an eclectic range of furniture from mid-century antiques and dazzling chandeliers to plush lounge sets dressed in bright handwoven Jim Thompson silks. Settle into one of its many velvet-draped seats and expect to be blown away by food that escapes narrow definition. The food at Jam at Siri House is playful, fun to eat and outrageously delicious. The spicy potatoes ($16) are Hasselback potatoes covered in mala mayo, crispy beef lardons and parmesan; the pappardelle ($33) utilises prawn and lobster heads to make an intoxicating bisque-like sauce that's tossed in freshly made pasta and finished with smoked mussels and a roasted tiger prawn; and the cod ($38) is a novel take on traditional Chinese steamed fish.</p>"
"
                Bar Cicheti
            ",0,"<p>Can a Singaporean chef – who's never even stepped foot in Italy, we might add – make pasta better than the Italians? At Bar Cicheti on Jiak Chuan Road, the answer is yes. The mostly handmade pastas are done fresh by Aun and his team at Bar Cicheti's open kitchen. On its spring menu are creations like the bucatini ($30) a thick and hollow noodle soaks up the fragrant saffron broth it's cooked in and finished with spring peas, seared Hokkaido scallops and citron zest. Another winner is Aun's take on classic Italian pesto: spaghetti ($28) is tossed in a blend of jalapenos and basil before it's twirled together with pistachios, pine nuts and ricotta salata. The small plates are not to be missed too. Lingua di Manzo Tonnato ($18), or braised beef tongue, makes an offal eater out of any non-believer.</p>"
"
                Cheek Bistro
            ",0,"<p>Three years, one Michelin star and plenty of other accolades later, Cheek by Jowl has run its last service. Thankfully, its replacement doesn't fall too far from what chef Rishi Naleendra initially set out to achieve. We might even like Cheek Bistro more than the original. The update is warmer and more convivial than its predecessor, with a fresh coat of paint, indoor plants and art by the multi-talented chef adorning its walls. Its à la carte-only menu is unfussy and retains some Cheek by Jowl favourites so you can put down your pitchfork and breathe easy. Try the oysters topped with smoked tomato granita ($6) but the new waffle with chicken liver parfait ($6) is a real showstopper. For larger sharing plates, we recommend the burrata and heirloom tomatoes ($22) and unctuous lamb ribs ($28) with a smoky eggplant purée.</p><p> </p>"
"
                Restaurant Zén
            ",0,"<p>Priced at $450 for dinner, Zén is one of the most expensive restaurants in Singapore. But look beyond the eye-watering price tag at chef Björn Frantzén first international outpost and you'll find that a meal here is well worth it. Your dinner starts out on the first floor of the three-storey shophouse along trendy Bukit Pasoh with snacks that have been perfected in the kitchen of Sweden’s first three-Michelin-starred restaurant. Before you proceed to dig into your mains on the second floor, you're presented with a table of ingredients that you'd be hard pressed to find in any other restaurant in the city – or the region. They go towards making stunning plates like beautifully cooked marron interjected with puffed Koshihikari rice, Yukimuro snow-aged wagyu covered with ramson, pickled baby pine cones flown in from Russia and the most incredibly balanced dessert of sea buckthorn sorbet served paired with oolong mousse and match meringue.</p>"
"
                New Ubin Zhongshan Park
            ",0,"<p>Opening its third outlet on the island and first hotel restaurant, New Ubin Group is quickly solidifying itself as Singapore's zi char king. It's built a reputation of serving hearty local favourites as well as some unexpected creations you wouldn't usually find at your typical heartland joint. Its most famous dish is the USDA Black Angus ‘Choice’ Rib-Eye (from $80/500g) served medium-rare with caramelised onions, potato wedges and various sauces but you definitely need to have it with New Ubin's signature Heart Attack Fried Rice, which is fried with beef drippings. Aside from its star creation, other must-tries include the Foie Gras Egg Special ($10.50), pan-seared foie gras served with soft boiled eggs sprinkled with truffle salt; mud crabs (from $48/400g) baked with copious amounts of garlic; as well as the Boss Bee Hoon ($12), a wok hei bomb of just three simple ingredients: rice vermicelli, egg and chye sim.</p>"
"
                Basque Kitchen by Aitor
            ",0,"<p>Following his departure from one-Michelin-starred Iggy’s at the Hilton Singapore, chef Aitor Jeronimo Orive has teamed up with powerhouse hotel and restaurant group Unlisted Collection to open Basque Kitchen. Inspired by the cuisine of Basque Country, where meats are grilled over hot coals and stews are rustic and hearty – he elevates these homey dishes with techniques he’s learnt cooking at some of the top restaurants in the world. Lunch is priced from $38 while dinner starts from $85 but we highly recommend the grill tasting menu ($98) that highlights dishes that are cooked on a Josper-made Basque grill. The menu features Kokotxas, a traditional dish of desalted cod chin that's slathered in pil-pil, a rich sauce made with olive oil, back garlic and guindillas (small hot peppers) as well as the Txuleta, a showstopping grilled Angus prime rib showered with black truffle. This isn't your ordinary steak, chef Aitor specifically uses old cows that can be up to 18 years of age, which results in a flavourful, albeit slightly less tender.</p>"
"
                Min Jiang at Dempsey
            ",0,"<p>First opened in 1982 at Goodwood Park Hotel, Min Jiang has long been a stalwart of Chinese cuisine in Singapore. And after 12 years at Rochester Park, the brand's second outlet has moved to bigger space on Dempsey Hill decked out in rustic touches made modern like weaved wooden panels, rattan chairs and large drop lanterns that emit a warm glow over the dining room. Helming the restaurant is chef Goh Chee Kong, who's spent the past 32 years cooking at Min Jiang. He specialises in both Cantonese and Sichuan cuisine, producing beautiful plates of dim sum – the steamed Goldfish prawn dumpling ($4.80) is extremely Instagrammable, as is the pretty deluxe platter ($38) of blue pea truffle vegetable dumpling, steamed crabmeat, prawn and vegetable dumpling, fried glutinous rice golden pumpkin, and scallop dumpling. Other highlights on the menu include the braised sea treasure soup in pomegranate egg white parcel ($48), where Australian abalone, bamboo pith and dried scallops are poached and wrapped in an egg white skin. There's also the legendary wood-fired Beijing Duck ($118/ordering one day in advance is recommended) carved tableside with eight different condiments.</p>"
"
                Esora
            ",0,"<p>Esora is a treat for the senses. Chef-owner Shigeru Koizumi prepares Kappo-style cuisine with utmost precision, bringing together his experience cooking at three-Michelin-starred Nihonryori Ryugin in Tokyo and Singapore’s very own two-Michelin-starred Odette. The menu changes almost every week, following the micro-seasonality of ingredients, so you never really know what you’re going to get. The only choice you get to make is if you want the seven-course ($198), nine-course ($258) or the more premium and customisable chef’s menu ($308) and if you’d like to pair your meal with alcohol ($78/$108) or house-blended teas ($38/$48).</p>"
"
                Nouri
            ",0,"<p>Chef-owner Ivan Brehm, an alumnus of The Fat Duck and former head chef of Bacchanalia, has us hooked on 'crossroads cooking' – a term he coined that celebrates the similarities between cuisines and cultures. Cooking philosophy aside, the food at Nouri speaks volumes on its own. Expect deftly prepared dishes that use uncommon ingredients like wild rice stem and kanzuri to create flavour combinations that are all at once familiar and novel.</p><p> </p>"
"
                Jaan
            ",0,"<p>With breathtaking views of the Singapore skyline, Jaan is an intimate 40-seat restaurant that takes you on a culinary journey to Britain. After three years helming the restaurant, chef Kirk Westaway has hit full stride with his latest Reinventing British menu. A series of snacks like a fish and chips tart and Britain’s national dish, chicken tikka masala served to the tune of Brit-pop and rock music to set the tone of the meal. Signature mains include the Alaskan langoustine served with courgette as well as aged roasted pigeon with blackberry, beetroot and foie gras.</p>"
